a 0.02090 0.05719 0.05198 0.10587 0.02933 0.00651 0.01338 0.01284 0.00803 0.00639 0.00000 0.10125 0.05481 0.12903 0.00577 0.03002 0.03233 0.09582 0.14307 0.02506 0.01248 0.01925 0.00000 0.00001 0.03018 0.00850
b 0.30239 0.00000 0.00025 0.00004 0.12732 0.00000 0.00000 0.00000 0.18927 0.00037 0.00000 0.06811 0.00004 0.00000 0.06012 0.00004 0.00004 0.17734 0.00075 0.00004 0.07387 0.00000 0.00000 0.00000 0.00000 0.00000
c 0.18487 0.00000 0.00091 0.00002 0.11837 0.00000 0.00000 0.10714 0.17044 0.00000 0.00000 0.00806 0.00002 0.00002 0.27213 0.00003 0.00002 0.02810 0.00003 0.00318 0.10665 0.00000 0.00000 0.00000 0.00002 0.00000
d 0.13472 0.00022 0.00171 0.00775 0.39731 0.00025 0.00009 0.00110 0.13842 0.00006 0.00000 0.00214 0.00482 0.00105 0.25354 0.00188 0.00439 0.01844 0.00393 0.00097 0.02109 0.00206 0.00000 0.00000 0.00405 0.00000
e 0.03652 0.00909 0.04545 0.05255 0.03446 0.00599 0.01681 0.01777 0.00713 0.01011 0.00000 0.12680 0.03272 0.17684 0.00856 0.02625 0.01566 0.12594 0.17825 0.02566 0.00469 0.01869 0.00000 0.00074 0.01658 0.00675
f 0.17594 0.00000 0.00000 0.00013 0.15774 0.00000 0.00000 0.00000 0.20549 0.00000 0.00000 0.02387 0.00000 0.00000 0.06529 0.00000 0.00000 0.08573 0.00000 0.00000 0.28581 0.00000 0.00000 0.00000 0.00000 0.00000
g 0.24009 0.00000 0.00000 0.00000 0.05066 0.00000 0.00000 0.00000 0.04776 0.00000 0.00000 0.01155 0.00029 0.01439 0.24653 0.00000 0.00000 0.13215 0.00000 0.00000 0.25657 0.00000 0.00000 0.00000 0.00000 0.00000
h 0.46346 0.00030 0.00085 0.00065 0.11157 0.00040 0.00025 0.00065 0.09024 0.00010 0.00000 0.00040 0.00050 0.00010 0.28594 0.00065 0.00055 0.00020 0.00221 0.00060 0.03965 0.00065 0.00000 0.00000 0.00000 0.00005
i 0.12802 0.01826 0.05549 0.06827 0.16483 0.00643 0.03594 0.00342 0.00149 0.05318 0.00000 0.03622 0.04028 0.10212 0.09653 0.01054 0.00610 0.05060 0.06966 0.02823 0.00232 0.01148 0.00000 0.00046 0.00315 0.00699
j 0.19958 0.00000 0.00000 0.00000 0.14185 0.00000 0.00000 0.00000 0.00930 0.00000 0.00000 0.00000 0.00000 0.00000 0.55706 0.00000 0.00009 0.00000 0.00000 0.00000 0.09201 0.00000 0.00000 0.00000 0.00009 0.00000
k 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
l 0.27677 0.00911 0.03589 0.02574 0.15504 0.00436 0.02104 0.00513 0.05107 0.00187 0.00000 0.11161 0.02498 0.00405 0.15763 0.01693 0.00859 0.00865 0.01532 0.02279 0.01946 0.01762 0.00000 0.00017 0.00441 0.00177
m 0.23927 0.03817 0.00002 0.00009 0.22819 0.00000 0.00002 0.00002 0.17674 0.00000 0.00000 0.00002 0.00007 0.00011 0.19268 0.05216 0.00002 0.00000 0.00007 0.00002 0.07226 0.00000 0.00000 0.00000 0.00004 0.00000
n 0.10247 0.00564 0.07717 0.12913 0.08666 0.01010 0.02201 0.00681 0.04266 0.00246 0.00000 0.03650 0.01676 0.00619 0.14923 0.01804 0.03806 0.00733 0.04228 0.15170 0.01659 0.01171 0.00000 0.00001 0.00919 0.01129
o 0.03713 0.01598 0.04442 0.08218 0.04782 0.00730 0.00499 0.01483 0.00506 0.00501 0.00000 0.05394 0.05532 0.13873 0.00602 0.03363 0.04577 0.10164 0.19801 0.04440 0.00401 0.01077 0.00000 0.00050 0.03920 0.00335
p 0.23152 0.00000 0.00008 0.00000 0.16096 0.00000 0.00000 0.00000 0.05866 0.00000 0.00000 0.03058 0.00000 0.00000 0.30131 0.00000 0.00000 0.10388 0.00011 0.00158 0.11132 0.00000 0.00000 0.00000 0.00000 0.00000
q 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 1.00000 0.00000 0.00000 0.00000 0.00000 0.00000
r 0.24368 0.00856 0.03045 0.04701 0.18513 0.00254 0.00658 0.00308 0.08030 0.00112 0.00000 0.03312 0.03125 0.01765 0.13878 0.01277 0.02719 0.02645 0.02778 0.04286 0.01229 0.00870 0.00001 0.00000 0.00947 0.00324
s 0.11800 0.00637 0.05351 0.05923 0.16451 0.00642 0.00574 0.01432 0.07886 0.00153 0.00000 0.02644 0.02831 0.01358 0.06440 0.05917 0.03686 0.00864 0.02439 0.12523 0.05681 0.01233 0.00000 0.00000 0.03501 0.00033
t 0.24425 0.00000 0.00021 0.00005 0.25238 0.00002 0.00000 0.00005 0.08898 0.00000 0.00000 0.00003 0.00002 0.00008 0.22278 0.00002 0.00005 0.13935 0.00002 0.00002 0.05165 0.00002 0.00000 0.00000 0.00003 0.00000
u 0.05165 0.01350 0.03060 0.02907 0.48660 0.00199 0.00751 0.00299 0.08443 0.00611 0.00000 0.02105 0.01448 0.11067 0.00158 0.00978 0.00613 0.04154 0.04629 0.00726 0.00011 0.01002 0.00000 0.00004 0.01338 0.00323
v 0.14215 0.00000 0.00006 0.00112 0.34089 0.00000 0.00000 0.00000 0.28933 0.00000 0.00000 0.00000 0.00000 0.00000 0.13520 0.00000 0.00022 0.00000 0.00000 0.00000 0.09103 0.00000 0.00000 0.00000 0.00000 0.00000
w 1.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000
x 0.05291 0.00000 0.16667 0.05026 0.02381 0.00000 0.00000 0.00265 0.13228 0.00000 0.00000 0.05556 0.02116 0.00265 0.00794 0.14815 0.01323 0.00000 0.00794 0.05820 0.00000 0.07672 0.00000 0.17196 0.00794 0.00000
y 0.16146 0.01676 0.06652 0.08746 0.11636 0.01409 0.00768 0.01875 0.00135 0.00303 0.00000 0.05816 0.04260 0.03093 0.12189 0.05370 0.03997 0.01405 0.06302 0.03603 0.01214 0.02305 0.00004 0.00000 0.01063 0.00032
z 0.48714 0.00293 0.04266 0.02618 0.00909 0.00046 0.01494 0.00431 0.00015 0.00015 0.00000 0.01109 0.00785 0.01124 0.31634 0.00785 0.01278 0.00246 0.00847 0.00539 0.00678 0.00185 0.00000 0.00000 0.01971 0.00015
