aie  1.09555333127418e+00
ain  3.84726284800429e+00
air  3.60976158465741e+00
ais  6.85358995953940e+00
ait  1.39846189435714e+01
ala  3.88601203532285e+00
ale  1.83552779207547e+00
anc  5.97247639255034e+00
and  6.46894393804614e+00
ans  5.94817650297027e+00
ant  9.83821949785310e+00
are  1.11918749818933e+00
ass  2.59263688404643e+00
ati  4.92769607147051e+00
aut  3.72795366246808e+00
ava  1.54185445588471e+01
ave  6.66024901153874e+00
ble  1.70676999689924e+01
ces  4.56064624588390e+00
cet  2.88874515686302e+00
cha  5.90166187327429e+01
che  4.06658541857924e+01
com  4.51097090008571e+01
con  2.01212988213783e+01
cou  9.35999457864698e+00
dan  1.06760193662859e+01
dec  8.26481208012589e+00
del  8.92925186424830e+00
dem  7.82614980237823e+00
dep  5.87560927179155e+00
des  9.09217179295417e+00
dev  1.12177556964057e+01
dun  6.87608026981128e+00
eau  1.89115056109674e+00
ece  2.06794011146300e+00
ech  2.25695490731148e+01
eco  7.97148822951441e+00
eda  1.97663940804390e+00
ede  4.79110057467125e+00
een  5.65906407023169e-01
ees  4.52232830731521e-01
eet  9.59756791229115e-01
eil  1.96866243423439e+00
ela  4.55259195797667e+00
ele  2.13008018548016e+00
ell  5.58109256911745e+00
ema  3.73527540955794e+00
eme  4.94725010384233e+00
emo  4.27623019298778e+00
ena  1.19025480871694e+00
enc  4.35407278769110e+00
end  3.67788483845507e+00
ene  9.94899973637507e-01
eno  1.59017871482136e+00
ens  1.38497425115948e+00
ent  9.42073246741009e+00
epa  4.72979896850619e+00
epe  1.24673403933081e+00
epo  5.69872870692264e+00
epr  3.23353726052241e+00
equ  2.69001870677106e+01
era  2.20545771702015e+00
ere  1.98239841268846e+00
eri  1.29323847958521e+00
ers  1.69387559770298e+00
esa  2.32119999053909e+00
esc  3.89375929483484e+00
esd  4.45809713719043e+00
ese  1.50605979408754e+00
esi  1.23997461968860e+00
esl  1.23062618787389e+00
esm  2.76546237183434e+00
eso  2.32097333298704e+00
esp  5.24214025426226e+00
ess  2.12195108462819e+00
est  3.72581542682423e+00
esu  1.46602104665627e+00
eta  2.28449731265936e+00
ete  1.11893596635980e+00
eti  1.21482256839881e+00
etr  2.27370026202891e+00
ett  1.42385424033320e+00
eun  1.34383607435784e+00
eur  3.97933332689540e+00
eux  2.93084576763141e+01
eve  2.16774920832541e+00
evo  8.56004251935376e+00
fai  2.07170106097175e+01
ide  2.56153731037905e+00
ien  3.55262771154156e+00
ier  2.06676429915019e+00
ile  1.95536066103010e+00
ill  7.50032282997992e+00
ils  3.35922610233683e+00
ine  1.79746044929186e+00
ins  3.09650826941831e+00
int  3.64609007067574e+00
ion  1.20663286524541e+01
iqu  3.33478454264664e+01
ire  3.08201693732923e+00
isa  2.10257627077315e+00
ise  1.56678963573056e+00
iss  3.08022732329699e+00
ist  2.43996406409152e+00
ita  2.78323574407131e+00
itd  5.92968889449665e+00
ite  3.14552272174691e+00
lac  7.13801019954719e+00
lai  4.02872259919667e+00
lam  7.47929040395625e+00
lan  3.41093009679254e+00
lap  8.85237236811982e+00
lec  3.98916295543704e+00
led  3.57170074569932e+00
lem  6.33311493628621e+00
len  1.75575296558142e+00
lep  4.82478917750232e+00
ler  1.59334518837059e+00
les  7.85894941761047e+00
let  1.89738563588581e+00
leu  1.91603339699106e+00
lle  8.39693081395918e+00
lus  4.54454585955214e+00
mai  1.18569191683825e+01
men  1.03373178620764e+01
mes  2.91230108184324e+00
mme  1.42849784422047e+01
mon  1.04125842602006e+01
